id_request,customer_id,request_date,requested_standard,requested_supplier_site_id,requested_audit_id,audit_scope,contact_information,quality_officer_id
REQ00021,1036,2024-07-13,GVP,32,AUD01944,deviation_mgmt,"{""name"": ""Jamie"", ""surname"": ""Garcia"", ""email"": ""jamie.garcia@example.com""}",13
REQ00022,1043,2024-09-06,GCP,33,AUD01612,complaint_handling,,10
REQ00023,1028,2024-08-26,GMP,85,AUD01586,pharmacovigilance_system,"{""name"": ""Alex"", ""surname"": ""Schmidt"", ""email"": ""alex.schmidt@qualifyze.com""}",3
REQ00024,1070,2024-09-13,GCP,45,AUD00226,,"{""name"": ""Casey"", ""surname"": ""Garcia"", ""email"": ""casey.garcia@customer.io""}",13
REQ00025,1042,2024-01-17,GMP,45,AUD00544,supplier_qualification,,12
REQ00026,1009,2025-05-02,GVP,115,AUD01594,,"{""name"": ""Liam"", ""surname"": ""Smith"", ""email"": ""liam.smith@mail.org""}",9
REQ00027,1006,2025-06-17,GCP,78,AUD00939,change_control,"{""name"": ""Sam"", ""surname"": ""Fischer"", ""email"": ""sam.fischer@mail.org""}",7
REQ00028,1088,2024-04-20,GVP,126,AUD01459,deviation_mgmt,"{""name"": ""Jordan"", ""surname"": ""Romaniuc"", ""email"": ""jordan.romaniuc@qualifyze.com""}",2
REQ00029,1017,2024-10-08,GCP,150,AUD01124,validation_program,"{""name"": ""Lucia"", ""surname"": ""Hernandez"", ""email"": ""lucia.hernandez@customer.io""}",
REQ00030,1065,2025-09-11,GCP,111,AUD00204,deviation_mgmt,"{""name"": ""Sofia"", ""surname"": ""Nguyen"", ""email"": ""sofia.nguyen@mail.org""}",8
REQ00031,1114,2024-08-21,GVP,106,AUD00695,training_records,"{""name"": ""Marta"", ""surname"": ""Smith"", ""email"": ""marta.smith@customer.io""}",7
REQ00032,1041,2024-09-18,GMP,96,AUD01953,clinical_data_mgmt,"{""name"": ""Ines"", ""surname"": ""Khan"", ""email"": ""ines.khan@example.com""}",
REQ00033,1011,2024-04-05,GCP,111,AUD00198,validation_program,"{""name"": ""Casey"", ""surname"": ""Popescu"", ""email"": ""casey.popescu@example.com""}",10
REQ00034,1072,2025-07-29,GMP,85,AUD01373,training_records,"{""name"": ""Diego"", ""surname"": ""Martinez"", ""email"": ""diego.martinez@example.com""}",5
REQ00035,1077,2024-11-15,GCP,91,AUD00213,risk_management,"{""name"": ""Jamie"", ""surname"": ""Rossi"", ""email"": ""jamie.rossi@mail.org""}",4
REQ00036,1109,2024-04-20,,90,AUD01732,,"{""name"": ""Taylor"", ""surname"": ""Schmidt"", ""email"": ""taylor.schmidt@qualifyze.com""}",13
REQ00037,1078,2024-09-30,GVP,8,AUD00370,batch_release,"{""name"": ""Carmen"", ""surname"": ""Demeter"", ""email"": ""carmen.demeter@example.com""}",3
REQ00038,1112,2024-05-26,,145,,,"{""name"": ""Casey"", ""surname"": ""Garcia"", ""email"": ""casey.garcia@example.com""}",12
REQ00039,1059,2024-12-15,GVP,41,AUD00758,validation_program,"{""name"": ""Liam"", ""surname"": ""Khan"", ""email"": ""liam.khan@example.com""}",
REQ00040,1021,2025-09-24,GMP,13,,,"{""name"": ""Pablo"", ""surname"": ""Martinez"", ""email"": ""pablo.martinez@mail.org""}",10
REQ00041,1028,2025-06-08,GVP,30,AUD00707,deviation_mgmt,"{""name"": ""Quinn"", ""surname"": ""Fischer"", ""email"": ""quinn.fischer@customer.io""}",1
REQ00042,1029,2025-02-08,GMP,15,AUD00016,batch_release,"{""name"": ""Jamie"", ""surname"": ""Rossi"", ""email"": ""jamie.rossi@customer.io""}",5
REQ00043,1042,2024-05-02,GCP,2,AUD01019,training_records,"{""name"": ""Morgan"", ""surname"": ""Rossi"", ""email"": ""morgan.rossi@mail.org""}",
REQ00044,1091,2024-08-23,GCP,129,,validation_program,"{""name"": ""Jordan"", ""surname"": ""Sanchez"", ""email"": ""jordan.sanchez@example.com""}",7
REQ00045,1118,2024-03-20,GVP,81,AUD01180,pharmacovigilance_system,,2
REQ00046,1052,2024-01-22,GCP,84,AUD00352,data_integrity,"{""name"": ""Diego"", ""surname"": ""Khan"", ""email"": ""diego.khan@mail.org""}",14
REQ00047,1014,2024-09-06,GVP,112,AUD01207,risk_management,"{""name"": ""Jordan"", ""surname"": ""Sanchez"", ""email"": ""jordan.sanchez@customer.io""}",12
REQ00048,1044,2024-08-14,GMP,86,AUD01596,deviation_mgmt,"{""name"": ""Nico"", ""surname"": ""Smith"", ""email"": ""nico.smith@qualifyze.com""}",15
REQ00049,1100,2024-12-23,GCP,90,AUD01490,supplier_qualification,"{""name"": ""Riley"", ""surname"": ""Smith"", ""email"": ""riley.smith@qualifyze.com""}",5
REQ00050,1026,2024-06-26,GCP,40,AUD01557,deviation_mgmt,"{""name"": ""Morgan"", ""surname"": ""Fischer"", ""email"": ""morgan.fischer@mail.org""}",13
REQ00051,1073,2025-08-16,GCP,115,AUD01395,clinical_data_mgmt,"{""name"": ""Isla"", ""surname"": ""Romaniuc"", ""email"": ""isla.romaniuc@customer.io""}",3
REQ00052,1057,2024-03-10,GCP,121,AUD00906,batch_release,"{""name"": ""Avery"", ""surname"": ""Muller"", ""email"": ""avery.muller@customer.io""}",9
REQ00053,1010,2024-11-13,GMP,119,AUD00926,change_control,"{""name"": ""Diego"", ""surname"": ""Silva"", ""email"": ""diego.silva@example.com""}",11
REQ00054,1111,2024-04-02,GVP,130,AUD00788,pharmacovigilance_system,"{""name"": ""Sofia"", ""surname"": ""Muller"", ""email"": ""sofia.muller@mail.org""}",15
REQ00055,1104,2025-08-08,GCP,49,,data_integrity,"{""name"": ""Nico"", ""surname"": ""Rossi"", ""email"": ""nico.rossi@example.com""}",8
REQ00056,1092,2024-03-27,,130,,,"{""name"": ""Riley"", ""surname"": ""Weber"", ""email"": ""riley.weber@mail.org""}",9
REQ00057,1048,2024-10-16,GVP,100,AUD00838,clinical_data_mgmt,"{""name"": ""Isla"", ""surname"": ""Muller"", ""email"": ""isla.muller@customer.io""}",2
REQ00058,1043,2024-04-06,GVP,143,AUD01390,batch_release,"{""name"": ""Avery"", ""surname"": ""Rossi"", ""email"": ""avery.rossi@customer.io""}",2
REQ00059,1075,2024-05-24,GCP,90,AUD00636,clinical_data_mgmt,"{""name"": ""Lucia"", ""surname"": ""Rossi"", ""email"": ""lucia.rossi@example.com""}",5
REQ00060,1072,2025-01-20,GMP,85,AUD01666,clinical_data_mgmt,"{""name"": ""Nico"", ""surname"": ""Khan"", ""email"": ""nico.khan@mail.org""}",
REQ00061,1047,2024-01-19,GMP,93,AUD00633,complaint_handling,"{""name"": ""Carmen"", ""surname"": ""Fischer"", ""email"": ""carmen.fischer@qualifyze.com""}",4
REQ00062,1018,2024-06-07,,20,AUD00606,,"{""name"": ""Sofia"", ""surname"": ""Hernandez"", ""email"": ""sofia.hernandez@example.com""}",11
REQ00063,1077,2025-01-20,GMP,40,AUD00333,pharmacovigilance_system,"{""name"": ""Morgan"", ""surname"": ""Weber"", ""email"": ""morgan.weber@example.com""}",7
REQ00064,1047,2024-08-31,GVP,114,AUD01251,data_integrity,"{""name"": ""Riley"", ""surname"": ""Popescu"", ""email"": ""riley.popescu@qualifyze.com""}",5
REQ00065,1104,2025-04-25,GCP,50,AUD00754,pharmacovigilance_system,"{""name"": ""Pablo"", ""surname"": ""Weber"", ""email"": ""pablo.weber@customer.io""}",13
REQ00066,1049,2025-05-29,GMP,136,AUD00858,complaint_handling,"{""name"": ""Isla"", ""surname"": ""Rossi"", ""email"": ""isla.rossi@customer.io""}",1
REQ00067,1083,2025-05-07,GMP,96,AUD01136,risk_management,,13
REQ00068,1021,2024-10-06,GCP,116,AUD01855,supplier_qualification,"{""name"": ""Marta"", ""surname"": ""Khan"", ""email"": ""marta.khan@qualifyze.com""}",
REQ00069,1058,2024-12-23,GMP,7,AUD00850,training_records,,7
REQ00070,1011,2025-01-18,,58,,deviation_mgmt,"{""name"": ""Carmen"", ""surname"": ""Rossi"", ""email"": ""carmen.rossi@qualifyze.com""}",1
REQ00071,1098,2025-04-25,GMP,115,AUD01261,,"{""name"": ""Alex"", ""surname"": ""Schmidt"", ""email"": ""alex.schmidt@qualifyze.com""}",14
REQ00072,1094,2025-09-15,GMP,136,AUD00867,batch_release,,1
REQ00073,1031,2025-03-05,,118,,,"{""name"": ""Isla"", ""surname"": ""Popescu"", ""email"": ""isla.popescu@example.com""}",11
REQ00074,1038,2025-03-15,GVP,1,AUD01260,complaint_handling,"{""name"": ""Liam"", ""surname"": ""Martinez"", ""email"": ""liam.martinez@qualifyze.com""}",11
REQ00075,1086,2024-03-28,,135,,deviation_mgmt,"{""name"": ""Nico"", ""surname"": ""Popescu"", ""email"": ""nico.popescu@example.com""}",7
REQ00076,1048,2024-09-16,GMP,5,AUD00732,validation_program,"{""name"": ""Riley"", ""surname"": ""Smith"", ""email"": ""riley.smith@customer.io""}",3
REQ00077,1006,2024-12-26,GCP,140,AUD00694,supplier_qualification,"{""name"": ""Pablo"", ""surname"": ""Fischer"", ""email"": ""pablo.fischer@qualifyze.com""}",13
REQ00078,1018,2024-03-05,GVP,118,,,"{""name"": ""Sam"", ""surname"": ""Nguyen"", ""email"": ""sam.nguyen@example.com""}",6
REQ00079,1105,2025-07-10,GMP,122,AUD00519,clinical_data_mgmt,"{""name"": ""Jamie"", ""surname"": ""Silva"", ""email"": ""jamie.silva@customer.io""}",
REQ00080,1100,2024-02-18,,85,,validation_program,"{""name"": ""Marta"", ""surname"": ""Sanchez"", ""email"": ""marta.sanchez@mail.org""}",15
REQ00081,1064,2025-05-24,GCP,95,AUD01893,batch_release,"{""name"": ""Jordan"", ""surname"": ""Martinez"", ""email"": ""jordan.martinez@example.com""}",7
REQ00082,1078,2024-07-03,GVP,140,AUD00602,deviation_mgmt,,5
REQ00083,1058,2025-09-09,GCP,110,,,"{""name"": ""Diego"", ""surname"": ""Weber"", ""email"": ""diego.weber@example.com""}",12
REQ00084,1036,2025-10-16,GCP,15,AUD00154,,"{""name"": ""Lucia"", ""surname"": ""Demeter"", ""email"": ""lucia.demeter@qualifyze.com""}",1
REQ00085,1087,2025-03-24,GMP,9,AUD00259,complaint_handling,"{""name"": ""Diego"", ""surname"": ""Demeter"", ""email"": ""diego.demeter@mail.org""}",
REQ00086,1005,2025-09-11,GVP,40,AUD01391,,"{""name"": ""Diego"", ""surname"": ""Weber"", ""email"": ""diego.weber@example.com""}",10
REQ00087,1047,2025-02-11,,81,,,"{""name"": ""Taylor"", ""surname"": ""Garcia"", ""email"": ""taylor.garcia@qualifyze.com""}",8
REQ00088,1100,2024-09-23,GCP,115,,batch_release,"{""name"": ""Ines"", ""surname"": ""Nguyen"", ""email"": ""ines.nguyen@example.com""}",3
REQ00089,1023,2025-03-31,GCP,23,AUD01660,validation_program,,15
REQ00090,1039,2024-06-10,GVP,45,AUD01626,risk_management,"{""name"": ""Riley"", ""surname"": ""Smith"", ""email"": ""riley.smith@qualifyze.com""}",13
REQ00091,1018,2024-08-30,GVP,127,AUD00054,risk_management,,13
REQ00092,1071,2024-05-12,,23,AUD00135,,"{""name"": ""Ines"", ""surname"": ""Hernandez"", ""email"": ""ines.hernandez@mail.org""}",13
REQ00093,1017,2024-11-20,GVP,19,AUD00922,clinical_data_mgmt,"{""name"": ""Nico"", ""surname"": ""Demeter"", ""email"": ""nico.demeter@qualifyze.com""}",
REQ00094,1107,2025-07-18,GMP,47,,training_records,"{""name"": ""Nico"", ""surname"": ""Muller"", ""email"": ""nico.muller@example.com""}",9
REQ00095,1022,2024-06-14,GCP,83,,complaint_handling,"{""name"": ""Diego"", ""surname"": ""Hernandez"", ""email"": ""diego.hernandez@customer.io""}",14
REQ00096,1026,2025-10-12,GMP,142,AUD00563,clinical_data_mgmt,"{""name"": ""Quinn"", ""surname"": ""Popescu"", ""email"": ""quinn.popescu@example.com""}",9
REQ00097,1083,2024-06-21,GMP,149,AUD00316,clinical_data_mgmt,"{""name"": ""Isla"", ""surname"": ""Romaniuc"", ""email"": ""isla.romaniuc@example.com""}",14
REQ00098,1111,2024-01-30,,21,,,"{""name"": ""Avery"", ""surname"": ""Nguyen"", ""email"": ""avery.nguyen@mail.org""}",10
REQ00099,1083,2024-11-05,GCP,124,AUD00502,training_records,"{""name"": ""Quinn"", ""surname"": ""Weber"", ""email"": ""quinn.weber@example.com""}",12
REQ00100,1008,2024-06-10,,113,,,"{""name"": ""Jamie"", ""surname"": ""Romaniuc"", ""email"": ""jamie.romaniuc@qualifyze.com""}",6
REQ00101,1017,2025-01-14,GMP,132,AUD01151,validation_program,,5
REQ00102,1058,2024-09-10,GMP,37,AUD00199,batch_release,,14
REQ00103,1116,2024-06-12,GCP,84,AUD01913,validation_program,"{""name"": ""Jamie"", ""surname"": ""Lopez"", ""email"": ""jamie.lopez@mail.org""}",9
REQ00104,1060,2025-05-25,GMP,79,AUD01019,,"{""name"": ""Lucia"", ""surname"": ""Hernandez"", ""email"": ""lucia.hernandez@mail.org""}",4
REQ00105,1046,2024-02-19,GVP,13,,pharmacovigilance_system,"{""name"": ""Ines"", ""surname"": ""Silva"", ""email"": ""ines.silva@example.com""}",14
REQ00106,1018,2024-09-27,GVP,94,AUD01565,validation_program,"{""name"": ""Sam"", ""surname"": ""Sanchez"", ""email"": ""sam.sanchez@example.com""}",10
REQ00107,1072,2024-07-18,,93,,,"{""name"": ""Lucia"", ""surname"": ""Hernandez"", ""email"": ""lucia.hernandez@mail.org""}",13
REQ00108,1013,2025-02-07,GVP,96,AUD01628,risk_management,"{""name"": ""Diego"", ""surname"": ""Rossi"", ""email"": ""diego.rossi@qualifyze.com""}",10
REQ00109,1066,2025-02-15,,129,AUD00083,,"{""name"": ""Casey"", ""surname"": ""Romaniuc"", ""email"": ""casey.romaniuc@mail.org""}",9
REQ00110,1042,2025-09-19,GVP,82,AUD00333,pharmacovigilance_system,"{""name"": ""Quinn"", ""surname"": ""Romaniuc"", ""email"": ""quinn.romaniuc@mail.org""}",12
REQ00111,1073,2024-11-02,GMP,122,AUD01671,validation_program,,10
REQ00112,1040,2025-10-06,GVP,7,AUD01223,batch_release,"{""name"": ""Liam"", ""surname"": ""Ivanov"", ""email"": ""liam.ivanov@example.com""}",10
REQ00113,1062,2024-06-23,GCP,135,AUD01289,pharmacovigilance_system,,1
REQ00114,1074,2024-04-22,GVP,49,,validation_program,"{""name"": ""Marta"", ""surname"": ""Rossi"", ""email"": ""marta.rossi@mail.org""}",12
REQ00115,1065,2025-09-18,GCP,121,AUD01788,change_control,"{""name"": ""Casey"", ""surname"": ""Hernandez"", ""email"": ""casey.hernandez@qualifyze.com""}",9
REQ00116,1042,2025-05-04,GVP,135,AUD00772,supplier_qualification,,9
REQ00117,1046,2025-10-20,GVP,68,AUD01250,complaint_handling,"{""name"": ""Riley"", ""surname"": ""Schmidt"", ""email"": ""riley.schmidt@customer.io""}",4
REQ00118,1039,2024-10-22,GCP,54,AUD01414,data_integrity,"{""name"": ""Carmen"", ""surname"": ""Fischer"", ""email"": ""carmen.fischer@customer.io""}",9
REQ00119,1120,2024-10-07,GCP,74,AUD00250,clinical_data_mgmt,"{""name"": ""Sofia"", ""surname"": ""Sanchez"", ""email"": ""sofia.sanchez@mail.org""}",14
REQ00120,1045,2024-05-29,GVP,75,AUD00087,deviation_mgmt,"{""name"": ""Diego"", ""surname"": ""Weber"", ""email"": ""diego.weber@customer.io""}",12
REQ00121,1062,2024-08-07,,52,,,"{""name"": ""Sofia"", ""surname"": ""Schmidt"", ""email"": ""sofia.schmidt@qualifyze.com""}",2
REQ00122,1007,2025-06-27,GMP,58,AUD01307,change_control,"{""name"": ""Taylor"", ""surname"": ""Martinez"", ""email"": ""taylor.martinez@customer.io""}",12
REQ00123,1061,2024-04-12,GCP,36,,supplier_qualification,"{""name"": ""Marta"", ""surname"": ""Fischer"", ""email"": ""marta.fischer@mail.org""}",11
REQ00124,1042,2024-10-19,GMP,16,AUD01860,clinical_data_mgmt,"{""name"": ""Liam"", ""surname"": ""Ivanov"", ""email"": ""liam.ivanov@example.com""}",15
REQ00125,1118,2024-06-28,GMP,107,AUD01807,change_control,"{""name"": ""Lucia"", ""surname"": ""Fischer"", ""email"": ""lucia.fischer@qualifyze.com""}",
REQ00126,1096,2024-10-23,GVP,10,AUD00019,pharmacovigilance_system,"{""name"": ""Isla"", ""surname"": ""Smith"", ""email"": ""isla.smith@customer.io""}",5
REQ00127,1059,2025-10-18,GVP,140,AUD01074,supplier_qualification,"{""name"": ""Nico"", ""surname"": ""Weber"", ""email"": ""nico.weber@customer.io""}",4
REQ00128,1104,2024-04-25,,85,,data_integrity,"{""name"": ""Avery"", ""surname"": ""Lopez"", ""email"": ""avery.lopez@example.com""}",12
REQ00129,1023,2025-09-17,GVP,104,AUD01694,risk_management,,11
REQ00130,1013,2024-07-08,GVP,36,AUD00978,complaint_handling,"{""name"": ""Alex"", ""surname"": ""Schmidt"", ""email"": ""alex.schmidt@mail.org""}",4
REQ00131,1058,2024-09-30,GCP,85,AUD00619,pharmacovigilance_system,"{""name"": ""Alex"", ""surname"": ""Schmidt"", ""email"": ""alex.schmidt@customer.io""}",
REQ00132,1031,2024-03-04,GVP,31,AUD00954,,"{""name"": ""Lucia"", ""surname"": ""Hernandez"", ""email"": ""lucia.hernandez@customer.io""}",12
REQ00133,1118,2024-10-29,GMP,95,AUD01259,complaint_handling,"{""name"": ""Casey"", ""surname"": ""Fischer"", ""email"": ""casey.fischer@qualifyze.com""}",8
REQ00134,1096,2025-09-12,GCP,96,AUD00852,,"{""name"": ""Ines"", ""surname"": ""Popescu"", ""email"": ""ines.popescu@qualifyze.com""}",13
REQ00135,1097,2025-09-02,GVP,21,AUD01077,risk_management,,1
REQ00136,1107,2025-07-14,,130,,,"{""name"": ""Casey"", ""surname"": ""Lopez"", ""email"": ""casey.lopez@customer.io""}",14
REQ00137,1092,2025-08-20,,126,,data_integrity,"{""name"": ""Sam"", ""surname"": ""Weber"", ""email"": ""sam.weber@qualifyze.com""}",9
REQ00138,1072,2025-04-18,GMP,79,AUD01482,training_records,,10
REQ00139,1010,2024-02-16,GCP,109,AUD00706,deviation_mgmt,,15
REQ00140,1061,2024-02-02,GMP,74,AUD00838,supplier_qualification,,8
REQ00141,1112,2025-01-21,GCP,97,AUD00165,clinical_data_mgmt,"{""name"": ""Sofia"", ""surname"": ""Rossi"", ""email"": ""sofia.rossi@customer.io""}",2
REQ00142,1023,2025-07-04,,101,,,"{""name"": ""Alex"", ""surname"": ""Garcia"", ""email"": ""alex.garcia@customer.io""}",8
REQ00143,1106,2024-08-23,GVP,64,AUD00944,supplier_qualification,"{""name"": ""Avery"", ""surname"": ""Nguyen"", ""email"": ""avery.nguyen@example.com""}",1
REQ00144,1104,2025-03-05,GMP,5,AUD00493,deviation_mgmt,"{""name"": ""Taylor"", ""surname"": ""Muller"", ""email"": ""taylor.muller@mail.org""}",
REQ00145,1087,2024-02-19,,63,AUD01517,training_records,"{""name"": ""Pablo"", ""surname"": ""Ivanov"", ""email"": ""pablo.ivanov@qualifyze.com""}",13
REQ00146,1065,2024-10-23,GCP,60,AUD01671,,"{""name"": ""Carmen"", ""surname"": ""Romaniuc"", ""email"": ""carmen.romaniuc@qualifyze.com""}",5
REQ00147,1067,2024-08-14,GVP,106,AUD00616,change_control,"{""name"": ""Sofia"", ""surname"": ""Lopez"", ""email"": ""sofia.lopez@mail.org""}",9
REQ00148,1064,2024-02-18,GCP,89,AUD01929,clinical_data_mgmt,"{""name"": ""Lucia"", ""surname"": ""Hernandez"", ""email"": ""lucia.hernandez@customer.io""}",12
REQ00149,1054,2025-02-22,GVP,39,AUD00615,supplier_qualification,"{""name"": ""Sofia"", ""surname"": ""Fischer"", ""email"": ""sofia.fischer@qualifyze.com""}",
REQ00150,1029,2024-11-03,,37,,,"{""name"": ""Sofia"", ""surname"": ""Martinez"", ""email"": ""sofia.martinez@mail.org""}",9
REQ00151,1033,2024-07-27,GMP,85,AUD01325,data_integrity,"{""name"": ""Diego"", ""surname"": ""Khan"", ""email"": ""diego.khan@qualifyze.com""}",1
REQ00152,1035,2025-01-21,GMP,11,AUD01790,complaint_handling,"{""name"": ""Liam"", ""surname"": ""Popescu"", ""email"": ""liam.popescu@qualifyze.com""}",8
REQ00153,1027,2024-12-06,GMP,78,AUD01960,complaint_handling,"{""name"": ""Jamie"", ""surname"": ""Smith"", ""email"": ""jamie.smith@mail.org""}",15
REQ00154,1032,2025-09-10,,53,,,"{""name"": ""Carmen"", ""surname"": ""Silva"", ""email"": ""carmen.silva@mail.org""}",8
REQ00155,1034,2025-01-03,GVP,132,,data_integrity,"{""name"": ""Taylor"", ""surname"": ""Fischer"", ""email"": ""taylor.fischer@customer.io""}",15
REQ00156,1041,2025-02-27,GMP,12,AUD01153,supplier_qualification,"{""name"": ""Alex"", ""surname"": ""Schmidt"", ""email"": ""alex.schmidt@mail.org""}",
REQ00157,1020,2024-07-19,GVP,85,,,"{""name"": ""Riley"", ""surname"": ""Fischer"", ""email"": ""riley.fischer@customer.io""}",5
REQ00158,1059,2024-06-21,GMP,91,AUD00347,risk_management,,9
REQ00159,1005,2024-03-17,GMP,13,AUD01566,training_records,"{""name"": ""Casey"", ""surname"": ""Ivanov"", ""email"": ""casey.ivanov@example.com""}",12
REQ00160,1020,2024-01-10,GVP,56,AUD01036,validation_program,"{""name"": ""Sam"", ""surname"": ""Fischer"", ""email"": ""sam.fischer@mail.org""}",1
REQ00161,1001,2025-06-28,GMP,142,AUD00843,change_control,"{""name"": ""Nico"", ""surname"": ""Schmidt"", ""email"": ""nico.schmidt@customer.io""}",1
REQ00162,1065,2025-03-16,,46,,,"{""name"": ""Casey"", ""surname"": ""Ivanov"", ""email"": ""casey.ivanov@qualifyze.com""}",10
REQ00163,1102,2025-02-10,,21,,,"{""name"": ""Liam"", ""surname"": ""Ivanov"", ""email"": ""liam.ivanov@qualifyze.com""}",5
REQ00164,1052,2025-01-23,GVP,97,,,"{""name"": ""Alex"", ""surname"": ""Lopez"", ""email"": ""alex.lopez@example.com""}",8
REQ00165,1073,2024-04-07,GMP,136,AUD01883,,"{""name"": ""Jamie"", ""surname"": ""Fischer"", ""email"": ""jamie.fischer@customer.io""}",1
REQ00166,1119,2024-10-14,GCP,140,AUD01155,change_control,"{""name"": ""Morgan"", ""surname"": ""Romaniuc"", ""email"": ""morgan.romaniuc@example.com""}",4
REQ00167,1076,2024-05-27,GMP,102,AUD01903,batch_release,"{""name"": ""Morgan"", ""surname"": ""Ivanov"", ""email"": ""morgan.ivanov@mail.org""}",11
REQ00168,1115,2025-07-07,GCP,85,,supplier_qualification,"{""name"": ""Jordan"", ""surname"": ""Hernandez"", ""email"": ""jordan.hernandez@customer.io""}",1
REQ00169,1030,2024-03-18,GCP,88,,,"{""name"": ""Lucia"", ""surname"": ""Romaniuc"", ""email"": ""lucia.romaniuc@example.com""}",11
REQ00170,1030,2024-12-30,,142,,,"{""name"": ""Morgan"", ""surname"": ""Sanchez"", ""email"": ""morgan.sanchez@example.com""}",13
REQ00171,1011,2024-10-01,,40,AUD00779,clinical_data_mgmt,"{""name"": ""Casey"", ""surname"": ""Sanchez"", ""email"": ""casey.sanchez@customer.io""}",6
REQ00172,1001,2024-11-11,GVP,114,AUD00738,deviation_mgmt,"{""name"": ""Casey"", ""surname"": ""Khan"", ""email"": ""casey.khan@qualifyze.com""}",7
REQ00173,1058,2025-07-24,GVP,143,AUD01050,deviation_mgmt,"{""name"": ""Alex"", ""surname"": ""Khan"", ""email"": ""alex.khan@customer.io""}",9
REQ00174,1012,2025-09-03,GVP,84,AUD01769,change_control,"{""name"": ""Quinn"", ""surname"": ""Martinez"", ""email"": ""quinn.martinez@mail.org""}",13
REQ00175,1011,2025-07-26,GCP,63,AUD01172,supplier_qualification,,5
REQ00176,1039,2024-10-01,GMP,127,AUD00299,supplier_qualification,"{""name"": ""Marta"", ""surname"": ""Schmidt"", ""email"": ""marta.schmidt@mail.org""}",5
REQ00177,1062,2024-03-19,GMP,93,,clinical_data_mgmt,"{""name"": ""Ines"", ""surname"": ""Nguyen"", ""email"": ""ines.nguyen@mail.org""}",2
REQ00178,1001,2025-02-09,,86,,,"{""name"": ""Carmen"", ""surname"": ""Weber"", ""email"": ""carmen.weber@customer.io""}",7
REQ00179,1042,2025-09-09,,52,,,"{""name"": ""Lucia"", ""surname"": ""Romaniuc"", ""email"": ""lucia.romaniuc@customer.io""}",12
REQ00180,1042,2025-01-20,GVP,72,AUD01673,validation_program,"{""name"": ""Taylor"", ""surname"": ""Nguyen"", ""email"": ""taylor.nguyen@qualifyze.com""}",11
REQ00181,1099,2025-07-17,GCP,7,AUD01952,data_integrity,,14
